converted_date,.geo,LST_AVE
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14759
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14760
2022-07-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14761
2024-07-16,"{""type"":""MultiPoint"",""coordinates"":[]}",14762
2022-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14763
2022-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14764
2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14765
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14766
2022-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14767
2022-06-25,"{""type"":""MultiPoint"",""coordinates"":[]}",14769
2022-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14770
2022-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}",14771
2022-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14772
2022-08-21,"{""type"":""MultiPoint"",""coordinates"":[]}",14773
2022-07-15,"{""type"":""MultiPoint"",""coordinates"":[]}",14774
2023-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14775
2022-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14776
2022-01-07,"{""type"":""MultiPoint"",""coordinates"":[]}",14777
2022-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14778
2024-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14779
2022-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14780
2022-11-04,"{""type"":""MultiPoint"",""coordinates"":[]}",14783
2023-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14785
2023-11-13,"{""type"":""MultiPoint"",""coordinates"":[]}",14788
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14789
2022-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14790
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14791
2022-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14793
2023-08-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14794
2022-07-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14797
2024-01-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14800
2023-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}",14802
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14804
2022-09-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14806
2022-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14807
2023-11-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14808
2023-11-13,"{""type"":""MultiPoint"",""coordinates"":[]}",14809
2022-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14810
2022-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14811
2021-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}",14812
2022-06-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14813
2022-12-17,"{""type"":""MultiPoint"",""coordinates"":[]}",14814
2024-03-06,"{""type"":""MultiPoint"",""coordinates"":[]}",14815
2023-10-03,"{""type"":""MultiPoint"",""coordinates"":[]}",14816
2021-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14817
2023-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14818
2023-10-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14819
2022-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14821
2022-10-09,"{""type"":""MultiPoint"",""coordinates"":[]}",14822
2022-05-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14823
2023-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14825
2023-11-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14829
2023-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}",14830
2023-05-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14832
2022-12-04,"{""type"":""MultiPoint"",""coordinates"":[]}",14834
2023-11-13,"{""type"":""MultiPoint"",""coordinates"":[]}",14835
2024-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14836
